What have been your involvements in feature modeling?,Teaching,Studying,Academic,Industrial,"How many features do your feature models contain, on average?",Do you have any other comments on your experience with feature modeling?,What is your experience in collaborative feature modeling?,For what use cases do you use collaborative feature modeling and why?,How often do you edit feature models collaboratively?,"With how many people do you edit a feature model in a collaborative fashion, on average?",What strategy do you employ for collaborative feature modeling and what systems do you use?,How satisfied are you with the implemented strategy?,What problems do you face during collaborative feature modeling?,In what use cases do you not apply collaborative feature modeling and why?,Do you have any other comments on collaborative feature modeling practices?,How satisfied are you with the tool?,What functionalities of the tool could be improved or are missing with regard to collaborative feature modeling?,In what use cases would the tool be more suited than your current strategy?,In what use cases would the tool be less suited than your current strategy?,Do you have any other comments about the tool?
Developer;Modeler;Researcher,0,4,4,4,Fewer than 50 features,,Personally involved in collaborative modeling,"brainstorming, stepwise refinement",3,2,"direct discussion, work together at one workplace",Satisfied,"fxed for two or three participants, have to transfer the model data between workplaces ",,,Slightly satisfied,"straight lines for horizontal mode, enhance visiblity of selected features, keyboard based editing, New Feature -> Edit field for name, Ping to highlight regions for colloborators, CRTL-Z for the whole command stack, colorize option to indicate who has edited what, groups in command palette, drag and drop, constraint editing in feature submenu, more functions for constraint editor (moveable popup, suggestions)","intial editing phase, disussion of refinement","no configuration testing, validity of modell","nice work, good start, hope to see more functionality"
Developer;Modeler;Student,1,2,2,1,Fewer than 50 features,,Observing/studying collaborative modeling,requirements analysis,1,1,Pairmodelling,Slightly satisfied,we have to meet in real life^^,be aware of working together on a model,allows remote callaborative work,Satisfied,"user command history
recognize actions of others
highlighting of features or sections
read-only view with remarks functions
dark mode :D",remote work,offline work,
Researcher;Student,1,2,3,0,Fewer than 50 features,,None,,0,0,,Not applicable,,,,Satisfied,,"Hard to say, I don't have a current strategy. However, I liked the immediate response (i.e., seeing concurrent changes right away).",,"When creating a new feature, it should be possible to specify the name right away."
Researcher;Lecturer,3,0,3,0,Fewer than 50 features,"I mainly used feature modeling as part of SPL development. Hence, the focus was rather not so much on FM modeling/extension, but more on creating configurations and run/extend the correpsonding code",None,"So far, not used. But I could imaging that for distributed development, this may be more comfortable than changing (and later merging) several instances.",0,0,"So, far it would be mainly using a VCS, either by doing merging of different changes, or by working sequentially (i.e., only one at a time), but always on the most recent changes.",Unsatisfied,"none so far, as I have done this too few times (and not really in a collaborative fashion)",,,Very satisfied,"- auto-completion when entering new constraints would be nice
- Drag-and-Drop for moving features around",- almost all,- maybe if you need to run some analyses that would require the extra step of exporting the model to some other tool. But from a modeling perspective nothing.,"I found it pretty intuitive to use and very convenient to see the changes made by my collaborator (e.g., to use this feature correctly in a constraint). Also, the command palette only required a short time to get used to it. Also, like the ranking of commands according to usage."
Developer;Modeler;Researcher;Student,5,5,5,2,Between 50 and 100 features,,Personally involved in collaborative modeling,"Same as pair programming. On-the-fly exhange, quality assurance and synergies",2,1,"FeatureIDE, DeltaEcore, DarwinSPL. Strategies: Discuss design decisions and then enact them.",Satisfied,Working in parallel in different parts of the model does not work.,If I'm the only domain expert / stakeholder,,Satisfied,"Writing constraints is a little bit strange (writing != result). Less usage of command pallete. Google Docs like marking where other users are editing/clicking. ""Back"" button when using a multi-step command from the pallete (e.g., move feature)",Especially when editing different (more or less) independent parts of the feature tree. Distributed collaboration (without being at the same place).,"Direct personal interaction with collaborators is sometimes irreplaceable, e.g., discussing problems etc.. Working with online tools always leaves me with the fear of losing data. I might also miss versioning functionality (such as Git/SVN) .","It was very smooth! However, I expect that it might loose some user friendliness for large feature models compared to desktop tools."
Researcher;Student;Lecturer,5,4,4,0,Between 100 and 500 features,,None,"Rapid, iterative changes would be an intersting use case,... maybe also for tutorials and student assignments, where students need to collaborate",0,,,,,,,Satisfied,"- Better handling of constraints; maybe hints what other people are currently working on (i.e., which features are changed/are new constraints currently added etc)?","- In the beginning when coming up with a good initial featuremodel
- When the feature model is reworked/refactored with major changes
- Additionally, working in pairs seems to be very beneficial",Depends on the context and whether all collaborateurs are on an equal experience level,Nice and easy handling; already equpped with lots of functionality
Developer;Modeler;Researcher;Domain Expert,5,4,4,5,Between 100 and 500 features,,Personally involved in collaborative modeling,Supporting customer with modeling,3,3,version control systems,Satisfied,None until now,I do not recall such use cases,,Slightly satisfied,Usability with respect to the required operation that are needed to be performed,"Academic context, training",,"It is nice to have, and it can be used in a academia, to perform some analysis based on the interactions between many users. "
Developer;Modeler;Researcher;Domain Expert;Student;Lecturer,5,4,5,4,Fewer than 50 features,"I also counted my experience with other variability modeling approaches such as OVM, DM, etc.",Observing/studying collaborative modeling,I am currently just interested in the area but have been creating feature models collaboratively with colleagues and students on the whiteboard or using pen and paper...,2,2,"whiteboards, pen and paper, later model with FeatureIDE",Slightly satisfied,effort to manually transfer sketch on whiteboard or pen and paper to a feature modeling tool,preparing my slides for teaching,"any collaborative feature modeling tool should make it easy to ""quickly sketch"" a feature model not requiring many interactions with the GUI, as similar as possible to ""drawing"" a feature model on a whiteboard or using pen and paper",Satisfied,"allow to always show command palette; allow to drag and drop features and feature dependencies (hierarchical) from a palette to create them (to enable quickly ""sketching""); maybe allow to ""draw a feature model with the mouse"" (drawing a rectangular shape on canvas creates a feature, drawing a line creates a dependency depending on from where to where the line was drawn...)","to save the effort of manually creating a previously sketched feature model with e.g. Feature IDE, which makes sense if the model is supposed to be more than a sketch/draft",if you just want to sketch ideas using a feature model and not plan to use the model for anything other than as a sketch,"very nice, congratulations, cool work/tool!

A detailed usability study of the tool would make sense/be interesting -- see e.g., […] and […] and feel free to contact me (I think that you can guess that I'm […]) in case you want to perform such a study, we could do sth together :)"
Developer;Researcher,0,2,4,0,Fewer than 50 features,,None,,0,,,,,,,Satisfied,"Is there a chat functionality (e.g., to discuss conflict resolution)? Would be nice!",,,
Developer;Modeler;Researcher;Lecturer,5,2,5,3,Fewer than 50 features,,Personally involved in collaborative modeling,"Research, Configuring Products, Structuring Configuration Space (even non-software related)",1,2,"face-to-face, repository with virtual token on who may edit when",Slightly unsatisfied,Concurrent but conflicting edits,Isolated changes in parts of the feature model exclusively maintained by one party.,Grows less relevant the more stable the feature model is.,Slightly satisfied,,"Unfortunately few: In the early stages when we have to settle on the overall structure of the feature model, face-to-face meetings are necessary anyways and, there, a whiteboard or one person modeling in a tool will do just fine.","Makes editing the feature model ad-hoc more liberal, which is something we explicitly do not want as it is a core artifact that should only be changed after proper considerations and deliberations.","What would be a benefit was a way to find a consensus between different drafts for a particular feature model, e.g., checking in how far the configuration logic overlaps/differs and, once agreed upon a common configuration logic, trying to find a common structure."
